,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,0.32422867,-0.29137275,0.1145418,-0.19114126,0.23730665,-0.19658531,0.32217443,-0.15642984,-0.15121159,-0.068453655,0.30567908,-0.2831391,-0.04176654,0.20406984,0.044820156,0.33695588,0.31954426,-0.09228959,-0.33471227,0.33509567,0.32822365,0.14331739,0.3317443,-0.11269649,-0.16778286,-0.23486774,-0.09561817,-0.109350964,-0.15831292,-0.34022287,-0.30017862,-0.16143928,0.34008673,0.31966734,-0.22920871,0.18421072,-0.0130161885,0.33850136,-0.20080355,-0.3233104,-0.17552924,0.28766945,-0.3411882,0.26240307,-0.33566082,-0.11971907,0.11700035,0.05762394,-0.31198144,-0.029490193
1,0.32422867,-0.33638108,0.30174145,-0.33906218,0.26711,0.32296315,-0.10259232,0.29309914,0.0922717,0.005718367,-0.34063017,0.01755773,-0.31504747,0.29209659,-0.28352293,0.28841996,0.25394183,-0.092289686,-0.28674975,0.20159227,0.23230241,0.32241607,-0.0108538335,0.32558936,0.29953358,0.18519017,0.15432549,-0.07761422,-0.14651164,0.126551,-0.19086838,-0.34184518,0.2756337,0.3419885,-0.22920875,0.2758613,0.22061461,0.107235186,-0.29418367,-0.018760178,0.34000888,-0.147217,0.33969337,-0.21763358,0.25089377,0.32779667,0.27707273,-0.33035067,-0.013648681,-0.2513354
2,0.32422867,-0.33595926,0.33143747,-0.111124694,-0.18801515,0.019819144,-0.1985233,-0.34196594,-0.030189518,0.057211645,0.27354005,0.26197731,0.2142002,-0.1501672,-0.29757443,0.089334056,0.15404299,-0.09228947,-0.20006041,-0.03713894,-0.12113192,-0.08382028,-0.32580367,-0.27972636,-0.34155434,-0.12920651,-0.20777752,0.24132854,0.33489847,0.2709581,0.26495606,-0.14330728,0.067304805,0.3181223,-0.22920884,0.33025503,0.33908856,-0.24290396,0.14651598,0.33357847,-0.23427306,-0.03733656,-0.32663086,0.16545269,-0.09096718,-0.2753637,-0.26864937,-0.11858681,0.2998138,-0.3419889
3,0.32422867,-0.2901643,0.18812907,0.23999703,-0.30180562,-0.3338107,0.34186614,0.2883915,-0.032920405,-0.1181937,-0.12450699,-0.33331087,0.19781038,-0.3198079,0.018241918,-0.1563829,0.033340383,-0.09228863,-0.086351,-0.25648412,-0.34028837,-0.33788386,0.18917458,0.011556218,0.2812572,0.068822615,0.25415364,-0.33274907,-0.25713113,-0.27485374,0.23976256,0.21409014,-0.17615575,0.2512915,-0.22921014,0.34004596,0.28056368,-0.32377797,0.32122096,-0.16381565,-0.05764651,0.21070535,0.30244514,-0.10763686,-0.096208945,0.0040904563,-0.13003391,0.30846688,0.28092557,-0.25413096
4,0.32422867,-0.20518097,-0.053379487,0.32507652,0.13232084,0.16288418,-0.2135176,-0.14842501,0.094909586,0.1751502,-0.061824333,0.13975145,-0.32246694,0.09115038,0.3138367,-0.32047048,-0.09186563,-0.092289045,0.03901941,-0.34194916,-0.18222706,0.02146867,0.22226296,0.265798,-0.13670543,-0.006095058,-0.2918756,0.32448933,-0.024986876,-0.12052374,-0.22071125,0.33416355,-0.32766652,0.15052326,-0.22920951,0.30391178,0.07559074,-0.04573666,-0.08723902,-0.24391761,0.30375266,-0.32095358,-0.26796073,0.046156805,0.25456616,0.27043283,0.33982033,0.17551093,-0.04937471,-0.033621736
5,0.32422867,-0.0924868,-0.26702467,0.049801063,0.32622364,0.24465992,-0.084520146,-0.03600447,-0.15366644,-0.22614272,0.22963518,0.16487241,-0.021316322,0.33662856,0.26153633,-0.31727833,-0.20466463,-0.092289455,0.15912125,-0.2489223,0.1778373,0.34184554,-0.3108254,-0.33191454,-0.04879847,-0.056840055,0.3196568,-0.21902382,0.28724623,0.34081927,-0.28049207,0.08380999,-0.30814132,0.029424937,-0.2292079,0.22673157,-0.16883995,0.28300402,-0.33731985,0.29731938,-0.30845812,0.3350561,0.22435056,0.01689504,-0.3366622,-0.33003616,-0.055957317,-0.27607918,-0.32494217,0.20443736
6,0.32422867,0.03269809,-0.3412879,-0.28067997,-0.072120495,-0.29679292,0.315387,0.20964825,0.20719066,0.26943415,-0.32865518,-0.33846724,0.33413354,-0.029030144,-0.080682956,-0.14847262,-0.2898225,-0.09228862,0.25773266,-0.025962103,0.34076476,0.041614674,-0.05214082,0.1342482,0.21968508,0.11783956,-0.33655342,0.047945213,-0.32122216,-0.06601597,0.16894989,-0.25945008,-0.12777062,-0.095648676,-0.22921114,0.11893171,-0.32513964,0.29802927,0.024992548,0.08118782,0.06802335,-0.24878725,-0.17310031,-0.07937409,0.31790662,0.12734884,-0.30919272,-0.22645709,-0.24030314,0.33578426
7,0.32422867,0.15346707,-0.23740476,-0.30002072,-0.33953258,-0.08221739,-0.29560646,-0.32048872,-0.25365877,-0.30354992,0.32922128,0.24307209,-0.16156335,-0.3419858,-0.33346346,0.0978331,-0.33583784,-0.09228902,0.32153508,0.21054988,0.12594636,-0.33416635,0.33936334,0.17010862,-0.32476053,-0.1748262,0.34198868,0.13749628,0.09991123,-0.30468723,0.3116697,-0.31510332,0.11929125,-0.20780091,-0.22921048,-0.0049328525,-0.31172064,-0.017319389,0.3419318,-0.3417544,0.22647162,0.08799276,0.115957744,0.13914521,-0.20391789,0.17654522,0.22518687,0.23429006,0.11071488,0.29185706
8,0.32422867,0.25350934,-0.009600753,0.013218484,0.009464173,0.34179267,0.04089856,0.3353219,0.2914897,0.32732883,-0.23116392,0.045500994,-0.24570559,-0.034078673,-0.21659254,0.29307172,-0.3364968,-0.09228944,0.34191287,0.33715805,-0.2284866,-0.103280865,-0.13360319,-0.33927557,0.33254895,0.22586033,-0.33577773,-0.28174818,0.20080255,0.2327785,-0.111435086,-0.021456135,0.30408868,-0.29189074,-0.22920986,-0.12812877,-0.13559231,-0.31346798,0.038107567,0.10586422,-0.34098285,0.09916563,-0.054864094,-0.19418268,0.028840264,-0.3401348,0.18594158,0.26969168,0.33900553,0.09558832
9,0.32422867,0.31931388,0.22321467,0.31180483,0.34127912,-0.104854666,0.24631274,-0.24970388,-0.31939384,-0.33996108,0.06385773,-0.29791152,0.29604438,0.33569717,0.14037706,0.3353322,-0.29170957,-0.0922886,0.3161134,0.287777,-0.32963672,0.31510687,-0.26624045,0.23880875,-0.24071802,-0.2692028,0.3181328,0.34159708,-0.34193167,0.1772821,-0.3322337,0.29597336,0.33015436,-0.33655873,-0.22921117,-0.2340205,0.111315615,-0.262131,-0.3348986,0.28381053,0.18450269,-0.2566166,-0.0080953,0.24260706,0.15487011,0.233406,-0.32695886,-0.18452263,0.19150175,-0.15057932
